suite,task_id,task_description,total,successes,failures,errors,rate,ci95_low,ci95_high,median_action_steps_success,median_action_steps_failure,failure_horizon_exhausted,median_duration_seconds,mean_duration_seconds,p90_duration_seconds,p99_duration_seconds,sum_episode_compute_hours
libero_10,8,put both moka pots on the stove,50,30,20,0,0.6,0.4618143774758936,0.7239161026974346,403.5,520.0,20,23.010339514585212,23.690661921259014,27.26019374905154,27.47727385006845,0.3290369711285974
libero_10,3,put the black bowl in the bottom drawer of the cabinet and close it,50,45,5,0,0.9,0.7863976856252035,0.9565242350681096,218.0,520.0,5,12.276037810137495,13.962936017112806,16.22771076140927,29.300704026841558,0.19392966690434454
libero_goal,9,put the wine bottle on the rack,50,45,5,0,0.9,0.7863976856252035,0.9565242350681096,144.0,300.0,5,9.313418680336326,10.089507841132582,13.412706245901068,17.733473180080765,0.14013205334906362
libero_object,2,pick up the salad dressing and place it in the basket,50,47,3,0,0.94,0.8378290831116182,0.979385029651026,119.0,280.0,3,7.786847865674645,8.351638447828591,8.736273069260642,16.421338973585513,0.11599497844206376
libero_spatial,7,pick up the black bowl on the stove and place it on the plate,50,47,3,0,0.94,0.8378290831116182,0.979385029651026,121.0,220.0,3,9.153004602529109,9.541578488750384,10.701705913338811,15.114717945791782,0.13252192345486644
libero_10,5,pick up the book and place it in the back compartment of the caddy,50,48,2,0,0.96,0.8653990931249297,0.9889611156723802,172.0,520.0,2,9.899623566772789,11.116156240925193,12.7053157647606,26.04559305433184,0.1543910589017388
libero_10,6,put the white mug on the plate and put the chocolate pudding to the right of the plate,50,48,2,0,0.96,0.8653990931249297,0.9889611156723802,223.5,520.0,2,12.96398438164033,13.78828430951573,15.160403979010882,28.344245956996456,0.19150394874327403
libero_10,9,put the yellow and white mug in the microwave and close it,50,48,2,0,0.96,0.8653990931249297,0.9889611156723802,264.0,520.0,2,14.526846842607483,15.329984489250927,18.14153188187629,27.373325597657825,0.21291645123959624
libero_goal,3,open the top drawer and put the bowl inside,50,48,2,0,0.96,0.8653990931249297,0.9889611156723802,187.0,300.0,2,11.444752390496433,11.875564129790291,13.15163633017801,17.35076158076059,0.16493839069153182
libero_object,4,pick up the ketchup and place it in the basket,50,48,2,0,0.96,0.8653990931249297,0.9889611156723802,142.0,280.0,2,8.829741330817342,9.299256054190918,10.849812208628283,15.52140171818435,0.12915633408598498
libero_spatial,5,pick up the black bowl on the ramekin and place it on the plate,50,48,2,0,0.96,0.8653990931249297,0.9889611156723802,93.0,220.0,2,7.2939021124038845,7.553380488781259,7.6318542748689655,14.869043193883261,0.10490806234418415
libero_10,0,put both the alphabet soup and the tomato sauce in the basket,50,49,1,0,0.98,0.8950455641036219,0.9964607407283539,280.0,520.0,1,17.0975533220917,18.13285994231701,23.07482132827863,29.28002337672282,0.2518452769766251
libero_10,2,turn on the stove and put the moka pot on it,50,49,1,0,0.98,0.8950455641036219,0.9964607407283539,246.0,520.0,1,13.118864574935287,13.456831592088566,14.580089500639588,22.54410778624004,0.18690043877900786
