category,suite,total,successes,failures,errors,rate,ci95_low,ci95_high,median_action_steps_success,median_action_steps_failure,failure_horizon_exhausted,median_duration_seconds,mean_duration_seconds,p90_duration_seconds,p99_duration_seconds,sum_episode_compute_hours
Background Textures,libero_spatial,258,252,6,0,0.9767441860465116,0.9502007351203302,0.9892990717779265,119.0,220.0,6,8.51970949373208,8.476323547581744,9.566613373486327,14.827579649216496,0.6074698542433584
Robot Initial States,libero_spatial,350,271,79,0,0.7742857142857142,0.7276476861793703,0.8149682091990574,109.0,220.0,79,8.365183865185827,9.644833350607326,14.647897321637721,15.225993131841534,0.9376921313090457
Camera Viewpoints,libero_spatial,376,276,100,0,0.7340425531914894,0.6871787925054491,0.7761724186720584,119.0,220.0,100,9.236644585384056,10.491112677646711,15.22803038568236,15.721627746708691,1.0957384352208788
Language Instructions,libero_spatial,390,359,31,0,0.9205128205128205,0.8893834479298207,0.9434389801155972,109.0,220.0,31,8.155844832537696,8.68419934068329,12.057184332096952,15.267807482234202,0.9407882619073563
Sensor Noise,libero_spatial,351,324,27,0,0.9230769230769231,0.8903955654064624,0.9465979499146373,109.0,220.0,27,32.28424932202324,49.776115252564736,129.79888297384605,210.34894686983898,4.8531712371250615
Objects Layout,libero_spatial,385,371,14,0,0.9636363636363636,0.939894528082278,0.9782174476384563,105.0,220.0,14,8.559023641981184,8.858736897221247,11.452360769361263,15.679717821944502,0.9473926959528277
Light Conditions,libero_spatial,292,285,7,0,0.976027397260274,0.9513523273502318,0.9883401725048759,113.0,220.0,7,8.456846586894244,8.608364323296023,9.577757922466844,15.155313175274058,0.6982339951117885
Background Textures,libero_object,248,247,1,0,0.9959677419354839,0.977517162689225,0.9992878524657536,136.0,280.0,1,8.518458163365722,8.65690954537281,9.415448205871508,14.157583153476008,0.5963648797923492
Robot Initial States,libero_object,398,283,115,0,0.7110552763819096,0.6646737988821358,0.7534015298632821,147.0,280.0,115,9.963839993346483,11.43322604148059,16.136196050932632,16.822847747569902,1.2640066568081318
Camera Viewpoints,libero_object,396,362,34,0,0.9141414141414141,0.8824156690975397,0.9379094691895561,135.0,280.0,34,8.593399255536497,9.49380589325823,13.92588005354628,17.36456662577111,1.0443186482584053
Language Instructions,libero_object,354,325,29,0,0.9180790960451978,0.8848242017300315,0.9423577602916432,137.0,280.0,29,8.630449263378978,9.151378957382377,10.879845635453236,16.43081377378199,0.8998855974759338
Sensor Noise,libero_object,422,408,14,0,0.966824644549763,0.9450898997798506,0.9801370640087989,136.5,280.0,14,36.93021913059056,60.62979365034819,162.2962702897378,286.76616137608426,7.107159144568594
Objects Layout,libero_object,403,368,35,0,0.913151364764268,0.8816091091719863,0.9368915445353879,136.0,280.0,35,9.608876436017454,10.402661071550655,15.152007380966097,16.872087703170255,1.1645201143985873
Light Conditions,libero_object,297,294,3,0,0.98989898989899,0.970727980296089,0.9965589127429461,138.5,280.0,3,8.73363548470661,9.040963161562692,10.384222402609886,14.873371016234184,0.7458794608289221
Background Textures,libero_goal,281,247,34,0,0.8790035587188612,0.8356759804225593,0.9121084217563458,118.0,300.0,34,8.175081219058484,9.530090053514428,17.2818426550366,17.982699546497315,0.7438764736215429
Robot Initial States,libero_goal,409,278,131,0,0.6797066014669927,0.6329952419829511,0.7230736480454732,101.0,300.0,131,8.760829139035195,10.87023662436585,17.657778379134832,18.183606825228782,1.234979660934898
Camera Viewpoints,libero_goal,408,291,117,0,0.7132352941176471,0.6675231185203045,0.7549695574192381,97.0,300.0,117,8.196766269626096,10.449147795272225,17.799486638512462,18.327647161870264,1.1842367501308522
