difficulty,category,total,successes,failures,errors,rate,ci95_low,ci95_high,median_action_steps_success,median_action_steps_failure,failure_horizon_exhausted,median_duration_seconds,mean_duration_seconds,p90_duration_seconds,p99_duration_seconds,sum_episode_compute_hours
2,Background Textures,271,260,11,0,0.959409594095941,0.9287905915999948,0.9771862616317695,129.0,300.0,11,8.891436483711004,10.357624452004409,16.874282392207533,18.40330421975814,0.7796989518036652
1,Background Textures,233,227,6,0,0.9742489270386266,0.9449678644025667,0.9881457935711109,122.0,290.0,6,8.194528117310256,8.947474410009967,15.037422910518945,17.58938341220841,0.5791004270923117
3,Background Textures,263,252,11,0,0.9581749049429658,0.9266704126019254,0.9764875938978872,134.5,300.0,11,9.025041519664228,10.244391126464345,15.998470494616775,18.152247911123556,0.7484096850722562
4,Background Textures,163,155,8,0,0.950920245398773,0.9061523601829166,0.9749236088181822,176.0,300.0,8,11.881904563400894,11.720158046954225,17.00495303869248,25.811391468169155,0.5306627115704274
5,Background Textures,146,118,28,0,0.8082191780821918,0.736786564779477,0.8638482709217515,236.0,520.0,28,14.874823878053576,16.074391771136618,28.125854049809277,31.06323064216413,0.6519058884960961
1,Robot Initial States,248,235,13,0,0.9475806451612904,0.9123937500257379,0.9691132148702185,129.0,220.0,13,8.830280480906367,10.107013938946634,15.614195401128383,20.06816162587144,0.6962609602385459
3,Robot Initial States,374,301,73,0,0.8048128342245989,0.7616301096107041,0.8417975838764686,136.0,300.0,73,10.496305160690099,12.187208222168035,17.905430500255896,30.67746609124355,1.266115520858568
2,Robot Initial States,292,258,34,0,0.8835616438356164,0.8416935736494269,0.9154687283920988,137.5,290.0,34,9.323838317533955,11.093800264664237,16.94325160160661,27.622497494993723,0.8998304659116547
4,Robot Initial States,285,179,106,0,0.6280701754385964,0.5706026854736019,0.682131116308353,154.0,300.0,106,14.40594099694863,14.556848532918906,26.564373448025435,31.168909863866865,1.1524171755227468
5,Robot Initial States,351,161,190,0,0.4586894586894587,0.4072889567909782,0.5109844036658842,154.0,300.0,190,15.299063362181187,15.251715020312426,26.489807961974293,31.143174823839217,1.4870422144804616
1,Camera Viewpoints,199,187,12,0,0.9396984924623115,0.8975707846261199,0.9651719752486984,122.0,220.0,12,8.182017410174012,9.014196283258872,14.736968242563307,17.41361686654389,0.4982847389912543
2,Camera Viewpoints,360,316,44,0,0.8777777777777778,0.8398978967685656,0.9076804602488658,125.5,220.0,44,8.776116132736206,10.112182995933107,15.92581027285196,18.364227438191886,1.0112182995933108
3,Camera Viewpoints,325,241,84,0,0.7415384615384616,0.6913155423175905,0.786118174717483,131.0,220.0,84,9.925142268650234,11.730762149045388,17.2859138882719,29.13213783662765,1.0590271384554863
4,Camera Viewpoints,228,160,68,0,0.7017543859649122,0.6394279184219221,0.7573949814510149,137.5,300.0,68,12.253386810189113,13.311991545700533,20.17274750326761,30.06858468181919,0.8430927978943671
5,Camera Viewpoints,487,256,231,0,0.5256673511293635,0.4812912257673688,0.569641717142681,158.5,520.0,231,16.715051515959203,18.14584965630792,29.95321345208213,32.055516755441204,2.4547302173949883
2,Language Instructions,280,266,14,0,0.95,0.9178339854797117,0.9699855777617219,128.0,220.0,14,8.63183115539141,10.073194149728598,16.252515917969866,18.875634023025622,0.7834706560900021
1,Language Instructions,328,297,31,0,0.9054878048780488,0.8689705467069163,0.9326170576428144,124.0,280.0,31,8.680212929612026,10.108095284894949,15.790477322740482,21.194149045515857,0.920959792623762
4,Language Instructions,328,301,27,0,0.9176829268292683,0.882883516457011,0.9428119857678996,139.0,300.0,27,9.18781391531229,11.09611545038472,17.413660976756365,29.08140056159814,1.010979407701719
3,Language Instructions,259,250,9,0,0.9652509652509652,0.9352898897738959,0.9816126456225691,134.5,300.0,9,8.846248150803149,10.452311726011926,16.0565170455724,25.344779799887846,0.7519857602880802
5,Language Instructions,342,206,136,0,0.6023391812865497,0.5496093014738543,0.6527955814996829,139.5,300.0,136,14.597454735077918,14.224041582127402,18.752205605525525,31.628830258729867,1.351283950302103
1,Sensor Noise,177,173,4,0,0.9774011299435028,0.9433427526863419,0.9911774679648581,124.0,300.0,4,26.561781049706042,57.290832370193414,155.76719271298498,403.6781114178715,2.816799258201176
2,Sensor Noise,500,484,16,0,0.968,0.9486551309545582,0.9802084863734289,124.0,290.0,16,33.90134451072663,64.17893415193726,163.58536311732612,358.2881673741014,8.91374085443573
