perturbation,suite,total,successes,failures,errors,rate,ci95_low,ci95_high,median_action_steps_success,median_action_steps_failure,failure_horizon_exhausted,median_duration_seconds,mean_duration_seconds,p90_duration_seconds,p99_duration_seconds,sum_episode_compute_hours
lan(semantic),libero_10,500,465,35,0,0.93,0.9042028101480832,0.949240257054982,247.0,520.0,35,14.64614789094776,15.722255167598837,22.14989723898471,29.160266970181834,2.1836465510553937
object,libero_10,500,340,160,0,0.68,0.6378729881233315,0.7193822493105099,243.0,520.0,160,15.356022415217012,19.313426230313258,29.005492463614793,31.68272673276253,2.68242030976573
swap(position),libero_10,500,48,452,0,0.096,0.07317350466541904,0.12498696242751521,192.5,520.0,452,28.10165240825154,27.206995609543288,30.564250988047572,32.04916799675673,3.778749390214345
task,libero_10,500,80,420,0,0.16,0.13047637235016407,0.19470817916369149,364.0,520.0,420,27.70362028805539,26.94568640300166,30.259818027634175,31.188528004814867,3.7424564448613413
lan(semantic),libero_goal,500,482,18,0,0.964,0.9438156730319722,0.9771089390197072,91.0,300.0,18,6.569976033177227,7.894508325043135,11.56297386419028,17.982491786391474,1.0964594895893243
object,libero_goal,500,439,61,0,0.878,0.8463952769261602,0.9038407216849063,105.0,300.0,61,7.884766903240234,8.931014083455317,17.535047097317875,18.61299454717431,1.2404186227021272
swap(position),libero_goal,500,176,324,0,0.352,0.31141084189074275,0.3948459628858768,146.5,300.0,324,17.38260951382108,14.889539661020972,18.21061110799201,18.984174370463005,2.067991619586246
task,libero_goal,500,95,405,0,0.19,0.1580273788297291,0.2266997122564333,80.0,300.0,405,17.610362950945273,15.447322847778908,18.03218112308532,18.43563705157954,2.1454615066359595
lan(semantic),libero_object,500,498,2,0,0.996,0.9855342847848231,0.9989023694773173,133.0,280.0,2,8.459441338898614,8.796350385105237,10.078254556842149,13.952945244121363,1.2217153312646163
object,libero_object,500,464,36,0,0.928,0.9019315959830375,0.9475419685818739,133.5,280.0,36,8.41063530696556,9.316065019335598,13.665040380693972,16.10631414387375,1.2938979193521662
swap(position),libero_object,500,89,411,0,0.178,0.14696488670733526,0.21394518854990435,151.0,280.0,411,15.82871888903901,14.918348064587452,16.18874369855039,16.609376584449784,2.071992786748257
task,libero_object,500,52,448,0,0.104,0.08019420676989107,0.1338442708756583,147.0,280.0,448,15.92767878365703,15.282166673016734,16.248279537260533,16.738867459790782,2.122523149030102
lan(semantic),libero_spatial,500,481,19,0,0.962,0.9414152274693561,0.9755398819441696,104.0,220.0,19,8.072721530683339,8.418273372365162,9.89467221708037,15.141615494685245,1.1692046350507168
object,libero_spatial,500,486,14,0,0.972,0.9535535973250511,0.9832490252792436,105.0,220.0,14,7.799289453309029,8.153332379464992,9.777299513900653,14.803963217423297,1.1324072749256933
swap(position),libero_spatial,500,249,251,0,0.498,0.45435686059170843,0.5416736367701378,112.0,220.0,251,14.712053627707064,12.172175863988697,15.878183887898922,16.38815450589638,1.6905799811095412
task,libero_spatial,500,259,241,0,0.518,0.4742321113679192,0.561493412375465,116.0,220.0,241,11.62039853585884,12.05801026422996,15.491376556362958,15.7844882519776,1.6747236478097167
