suite,suite_label,task_id,task_description,short_task,official_successes,official_total,official_success_rate,official_ci95_low,official_ci95_high,official_mean_action_steps,official_median_action_steps,official_budget_utilization,official_median_duration_seconds,base_successes,base_success_rate,base_mean_action_steps,base_budget_utilization,base_median_duration_seconds,failures,failure_rank,cumulative_failures,cumulative_failure_share
libero_spatial,Spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,pick black bowl between the plate and the ramekin…,50,50,1.0,0.9286524008666414,1.0,83.74,76.5,0.3806363636363636,6.126166708301753,0,0.0,220.0,1.0,14.168325872858986,0,35,58,1.0
libero_spatial,Spatial,1,pick up the black bowl next to the ramekin and place it on the plate,pick black bowl next to the ramekin → on the plate,50,50,1.0,0.9286524008666414,1.0,107.0,106.0,0.4863636363636364,7.893471630522981,0,0.0,220.0,1.0,14.106681291945279,0,36,58,1.0
libero_spatial,Spatial,2,pick up the black bowl from table center and place it on the plate,pick black bowl from table center → on the plate,50,50,1.0,0.9286524008666414,1.0,99.96,98.5,0.45436363636363636,7.503892427543178,0,0.0,220.0,1.0,14.294577276566997,0,37,58,1.0
libero_spatial,Spatial,3,pick up the black bowl on the cookie box and place it on the plate,pick black bowl on the cookie box → on the plate,50,50,1.0,0.9286524008666414,1.0,83.66,84.0,0.38027272727272726,6.609546625521034,0,0.0,220.0,1.0,14.529567694524303,0,38,58,1.0
libero_spatial,Spatial,4,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,pick black bowl in the top drawer of the wooden c…,49,50,0.98,0.8950455641036219,0.9964607407283539,128.08,123.5,0.5821818181818181,9.10348960547708,0,0.0,220.0,1.0,14.897066977340728,1,20,57,0.9827586206896551
libero_spatial,Spatial,5,pick up the black bowl on the ramekin and place it on the plate,pick black bowl on the ramekin → on the plate,48,50,0.96,0.8653990931249297,0.9889611156723802,97.86,93.5,0.44481818181818183,7.2939021124038845,0,0.0,220.0,1.0,14.770823064725846,2,11,48,0.8275862068965517
libero_spatial,Spatial,6,pick up the black bowl next to the cookie box and place it on the plate,pick black bowl next to the cookie box → on the p…,50,50,1.0,0.9286524008666414,1.0,107.26,107.0,0.48754545454545456,8.019270085031167,0,0.0,220.0,1.0,14.258878777967766,0,39,58,1.0
libero_spatial,Spatial,7,pick up the black bowl on the stove and place it on the plate,pick black bowl on the stove → on the plate,47,50,0.94,0.8378290831116182,0.979385029651026,127.06,121.5,0.5775454545454546,9.153004602529109,0,0.0,220.0,1.0,14.483523431466892,3,5,36,0.6206896551724138
libero_spatial,Spatial,8,pick up the black bowl next to the plate and place it on the plate,pick black bowl next to the plate → on the plate,50,50,1.0,0.9286524008666414,1.0,99.88,98.0,0.454,7.459494163282216,0,0.0,220.0,1.0,14.230770056834444,0,40,58,1.0
libero_spatial,Spatial,9,pick up the black bowl on the wooden cabinet and place it on the plate,pick black bowl on the wooden cabinet → on the pl…,49,50,0.98,0.8950455641036219,0.9964607407283539,122.36,118.5,0.5561818181818182,8.590725090354681,0,0.0,220.0,1.0,14.549287672154605,1,21,58,1.0
libero_object,Object,0,pick up the alphabet soup and place it in the basket,pick alphabet soup → in the basket,49,50,0.98,0.8950455641036219,0.9964607407283539,152.32,143.5,0.544,9.17562132095918,0,0.0,280.0,1.0,15.599664204753935,1,17,54,0.9310344827586207
libero_object,Object,1,pick up the cream cheese and place it in the basket,pick cream cheese → in the basket,50,50,1.0,0.9286524008666414,1.0,138.28,129.5,0.4938571428571429,8.202894364017993,0,0.0,280.0,1.0,15.640763555187732,0,30,58,1.0
libero_object,Object,2,pick up the salad dressing and place it in the basket,pick salad dressing → in the basket,47,50,0.94,0.8378290831116182,0.979385029651026,130.84,120.5,0.4672857142857143,7.786847865674645,0,0.0,280.0,1.0,15.598286620806903,3,4,33,0.5689655172413793
libero_object,Object,3,pick up the bbq sauce and place it in the basket,pick bbq sauce → in the basket,49,50,0.98,0.8950455641036219,0.9964607407283539,137.76,127.5,0.492,8.087919468525797,0,0.0,280.0,1.0,15.506176611874253,1,18,55,0.9482758620689655
libero_object,Object,4,pick up the ketchup and place it in the basket,pick ketchup → in the basket,48,50,0.96,0.8653990931249297,0.9889611156723802,153.42,142.5,0.5479285714285714,8.829741330817342,0,0.0,280.0,1.0,15.53668834315613,2,10,46,0.7931034482758621
libero_object,Object,5,pick up the tomato sauce and place it in the basket,pick tomato sauce → in the basket,50,50,1.0,0.9286524008666414,1.0,139.84,129.5,0.49942857142857144,8.149989713449031,0,0.0,280.0,1.0,15.526400916045532,0,31,58,1.0
libero_object,Object,6,pick up the butter and place it in the basket,pick butter → in the basket,50,50,1.0,0.9286524008666414,1.0,158.18,156.5,0.5649285714285714,9.403174364939332,0,0.0,280.0,1.0,15.508860603440553,0,32,58,1.0
