dimension,scope,planned,attempted_unique,successes,failures,excluded_errors,unknown_errors,policy_denominator,success_rate,complete,macro_suite_success_rate,extra_episode_records,applicability,reason
suite,libero_10,2519,2519,2045,474,0,0,2519,0.8118300913060739,True,,,,
suite,libero_goal,2591,2591,1920,671,0,0,2591,0.7410266306445388,True,,,,
suite,libero_object,2518,2518,2287,231,0,0,2518,0.9082605242255759,True,,,,
suite,libero_spatial,2402,2402,2138,264,0,0,2402,0.8900915903413822,True,,,,
category,Background Textures,1076,1076,1012,64,0,0,1076,0.9405204460966543,True,,,,
category,Camera Viewpoints,1599,1599,1160,439,0,0,1599,0.7254534083802376,True,,,,
category,Language Instructions,1537,1537,1320,217,0,0,1537,0.8588158750813273,True,,,,
category,Light Conditions,1142,1142,1076,66,0,0,1142,0.9422066549912435,True,,,,
category,Objects Layout,1525,1525,1296,229,0,0,1525,0.8498360655737704,True,,,,
category,Robot Initial States,1550,1550,1134,416,0,0,1550,0.7316129032258064,True,,,,
category,Sensor Noise,1601,1601,1392,209,0,0,1601,0.8694565896314803,True,,,,
difficulty,1,1644,1644,1543,101,0,0,1644,0.9385644768856448,True,,,,
difficulty,2,2202,2202,2049,153,0,0,2202,0.9305177111716622,True,,,,
difficulty,3,2094,2094,1855,239,0,0,2094,0.8858643744030563,True,,,,
difficulty,4,1886,1886,1560,326,0,0,1886,0.8271474019088016,True,,,,
difficulty,5,2083,2083,1281,802,0,0,2083,0.614978396543447,True,,,,
difficulty,None,121,121,102,19,0,0,121,0.8429752066115702,True,,,,
total,total,10030,10030,8390,1640,0,0,10030,0.8364905284147557,True,0.8378022091293926,0,,
