dimension,scope,planned,attempted_unique,successes,failures,excluded_errors,unknown_errors,policy_denominator,success_rate,complete,macro_suite_success_rate,extra_episode_records,applicability,reason
suite,libero_10,7,7,6,1,0,0,7,0.8571428571428571,True,,,,
suite,libero_goal,7,7,6,1,0,0,7,0.8571428571428571,True,,,,
suite,libero_object,7,7,7,0,0,0,7,1.0,True,,,,
suite,libero_spatial,7,7,7,0,0,0,7,1.0,True,,,,
category,Background Textures,4,4,4,0,0,0,4,1.0,True,,,,
category,Camera Viewpoints,4,4,4,0,0,0,4,1.0,True,,,,
category,Language Instructions,4,4,4,0,0,0,4,1.0,True,,,,
category,Light Conditions,4,4,4,0,0,0,4,1.0,True,,,,
category,Objects Layout,4,4,3,1,0,0,4,0.75,True,,,,
category,Robot Initial States,4,4,3,1,0,0,4,0.75,True,,,,
category,Sensor Noise,4,4,4,0,0,0,4,1.0,True,,,,
difficulty,1,9,9,8,1,0,0,9,0.8888888888888888,True,,,,
difficulty,2,9,9,9,0,0,0,9,1.0,True,,,,
difficulty,3,4,4,3,1,0,0,4,0.75,True,,,,
difficulty,4,5,5,5,0,0,0,5,1.0,True,,,,
difficulty,5,1,1,1,0,0,0,1,1.0,True,,,,
total,total,28,28,26,2,0,0,28,0.9285714285714286,True,0.9285714285714286,0,,
