dimension,scope,planned,attempted_unique,successes,failures,excluded_errors,unknown_errors,policy_denominator,success_rate,complete,macro_suite_success_rate,extra_episode_records,applicability,reason
suite,libero_10,4,4,2,2,0,0,4,0.5,True,,,,
suite,libero_goal,4,4,2,2,0,0,4,0.5,True,,,,
suite,libero_object,4,4,1,3,0,0,4,0.25,True,,,,
suite,libero_spatial,4,4,3,1,0,0,4,0.75,True,,,,
perturbation,lan(semantic),4,4,4,0,0,0,4,1.0,True,,,,
perturbation,object,4,4,2,2,0,0,4,0.5,True,,,,
perturbation,swap(position),4,4,1,3,0,0,4,0.25,True,,,,
perturbation,task,4,4,1,3,0,0,4,0.25,True,,,,
compatibility_cell,env/libero_spatial,500,,,,,,,,False,,,N/A,pre-generated cell is absent
compatibility_cell,env/libero_object,500,,,,,,,,False,,,N/A,pre-generated cell is absent
compatibility_cell,env/libero_goal,500,,,,,,,,False,,,N/A,pre-generated cell is absent
compatibility_cell,env/libero_10,500,,,,,,,,False,,,N/A,pre-generated cell is absent
total,total,16,16,8,8,0,0,16,0.5,True,0.5,0,,
